Date,Ticker,Close,PE_Ratio,Beta,RSI,MACD,SMA_50,SMA_200,Interest_Rate,Inflation_Rate
2015-01-02,AAPL,24.347177505493164,36.9104,1.1807657,,0.0,,,,
2015-01-02,MSFT,40.15248489379883,33.0745,0.90333456,,0.0,,,,
2015-01-02,GOOGL,26.38186454772949,26.4118,1.0096312,,0.0,,,,
2015-01-02,TSLA,14.620667457580566,182.1585,2.4466493,,0.0,,,,
2015-01-02,AMZN,15.425999641418455,50.1165,1.1699733,,0.0,,,,
2015-01-05,AMZN,15.10949993133545,50.1165,1.1699733,,-0.0252478401205831,,,,
2015-01-05,TSLA,14.005999565124512,182.1585,2.4466493,,-0.049033336150341,,,,
2015-01-05,GOOGL,25.87918472290039,26.4118,1.0096312,,-0.0400998150860836,,,,
2015-01-05,MSFT,39.78324508666992,33.0745,0.90333456,,-0.0294550273493143,,,,
2015-01-05,AAPL,23.661272048950195,36.9104,1.1807657,,-0.054716104795446,,,,
2015-01-06,AAPL,23.66349983215332,36.9104,1.1807657,,-0.0967835876156151,,,,
2015-01-06,MSFT,39.1993408203125,33.0745,0.90333456,,-0.0987759158669021,,,,
2015-01-06,GOOGL,25.240501403808597,26.4118,1.0096312,,-0.1220091678578718,,,,
2015-01-06,TSLA,14.085332870483398,182.1585,2.4466493,,-0.0805624003859328,,,,
2015-01-06,AMZN,14.76449966430664,50.1165,1.1699733,,-0.0722625755892014,,,,
2015-01-07,AMZN,14.92099952697754,50.1165,1.1699733,,-0.0957896576311601,,,,
2015-01-07,TSLA,14.063332557678224,182.1585,2.4466493,,-0.1061015793653918,,,,
2015-01-07,GOOGL,25.1662712097168,26.4118,1.0096312,,-0.1907142412920102,,,,
2015-01-07,MSFT,39.69737243652344,33.0745,0.90333456,,-0.1122324840291852,,,,
2015-01-07,AAPL,23.99531555175781,36.9104,1.1807657,,-0.1021698647556661,,,,
2015-01-08,AAPL,24.917266845703125,36.9104,1.1807657,,-0.031679581348321,,,,
2015-01-08,MSFT,40.86520385742188,33.0745,0.90333456,,-0.0283360353777837,,,,
2015-01-08,GOOGL,25.253952026367188,26.4118,1.0096312,,-0.2353751397621195,,,,
2015-01-08,TSLA,14.041333198547363,182.1585,2.4466493,,-0.126656707449591,,,,
2015-01-08,AMZN,15.02299976348877,50.1165,1.1699733,,-0.104994165633153,,,,
2015-01-09,AMZN,14.846500396728516,50.1165,1.1699733,,-0.1250888816083737,,,,
2015-01-09,TSLA,13.77733325958252,182.1585,2.4466493,,-0.1623775954392528,,,,
2015-01-09,GOOGL,24.94556999206543,26.4118,1.0096312,,-0.2922838106472518,,,,
2015-01-09,MSFT,40.5217170715332,33.0745,0.90333456,,0.0103170629577391,,,,
2015-01-09,AAPL,24.94399642944336,36.9104,1.1807657,,0.026041144028138,,,,
2015-01-12,AAPL,24.3293571472168,36.9104,1.1807657,,0.0219361155383133,,,,
2015-01-12,MSFT,40.01509475708008,33.0745,0.90333456,,6.894041001004325e-05,,,,
2015-01-12,GOOGL,24.76323127746582,26.4118,1.0096312,,-0.3480850450051171,,,,
2015-01-12,TSLA,13.480667114257812,182.1585,2.4466493,,-0.2121792646258384,,,,
2015-01-12,AMZN,14.570500373840332,50.1165,1.1699733,,-0.1614241864733916,,,,
2015-01-13,AMZN,14.737000465393066,50.1165,1.1699733,,-0.1747703674662979,,,,
2015-01-13,TSLA,13.616666793823242,182.1585,2.4466493,,-0.237930691805257,,,,
2015-01-13,GOOGL,24.99937438964844,26.4118,1.0096312,,-0.3689995524902407,,,,
2015-01-13,MSFT,39.80899810791016,33.0745,0.90333456,,-0.0244017594162642,,,,
2015-01-13,AAPL,24.54536437988281,36.9104,1.1807657,,0.035701287098977,,,,
2015-01-14,AAPL,24.45184135437012,36.9104,1.1807657,,0.0386185871457875,,,,
2015-01-14,MSFT,39.46552658081055,33.0745,0.90333456,,-0.0706953154656915,,,,
2015-01-14,GOOGL,25.205127716064453,26.4118,1.0096312,,-0.3647670687546309,,,,
2015-01-14,TSLA,12.845999717712402,182.1585,2.4466493,,-0.316872565988227,,,,
2015-01-14,AMZN,14.66349983215332,50.1165,1.1699733,,-0.1890983903548928,,,,
2015-01-15,AMZN,14.34749984741211,50.1165,1.1699733,,-0.2233770578924936,,,,
2015-01-15,TSLA,12.791333198547363,182.1585,2.4466493,,-0.379471391267387,,,,
2015-01-15,GOOGL,25.10947608947754,26.4118,1.0096312,,-0.3649244597578267,,,,
2015-01-15,MSFT,39.05335998535156,33.0745,0.90333456,,-0.139038937473046,,,,
2015-01-15,AAPL,23.788209915161133,36.9104,1.1807657,,-0.0124751368814521,,,,
2015-01-16,AAPL,23.60337448120117,36.9104,1.1807657,,-0.0671083725248813,,,,
2015-01-16,MSFT,39.70597457885742,33.0745,0.90333456,,-0.1389395975413307,,,,
2015-01-16,GOOGL,25.43081283569336,26.4118,1.0096312,,-0.3352553879424569,,,,
2015-01-16,TSLA,12.871333122253418,182.1585,2.4466493,,-0.4178098343526581,,,,
2015-01-16,AMZN,14.536999702453612,50.1165,1.1699733,,-0.2325711587475023,,,,
2015-01-20,AMZN,14.472000122070312,50.1165,1.1699733,,-0.2423092822542543,,,,
2015-01-20,TSLA,12.795332908630373,182.1585,2.4466493,,-0.4491484055563148,,,,
2015-01-20,GOOGL,25.404903411865234,26.4118,1.0096312,,-0.3102566630598105,,,,
2015-01-20,MSFT,39.83476257324219,33.0745,0.90333456,,-0.1270047237118134,,,,
2015-01-20,AAPL,24.211328506469727,36.9104,1.1807657,,-0.0606496648448953,,,,
2015-01-21,AAPL,24.39616584777832,36.9104,1.1807657,,-0.040153400377612,,,,
2015-01-21,MSFT,39.43117141723633,33.0745,0.90333456,,-0.1484019977009794,,,,
2015-01-21,GOOGL,25.925518035888672,26.4118,1.0096312,,-0.2456045677104583,,,,
2015-01-21,TSLA,13.104666709899902,182.1585,2.4466493,,-0.4439067161638199,,,,
2015-01-21,AMZN,14.862500190734863,50.1165,1.1699733,,-0.2160265042278499,,,,
2015-01-22,AMZN,15.515999794006348,50.1165,1.1699733,51.3944867150508,-0.1408417211344783,,,,
2015-01-22,TSLA,13.441332817077637,182.1585,2.4466493,30.74241452126301,-0.4078846579057895,,,,
2015-01-22,GOOGL,26.767963409423828,26.4118,1.0096312,54.77626512852432,-0.1249486846594685,,,,
2015-01-22,MSFT,40.47020721435547,33.0745,0.90333456,52.38713767607107,-0.0805890063530654,,,,
2015-01-22,AAPL,25.030839920043945,36.9104,1.1807657,56.61344460910793,0.0269917858145554,,,,
2015-01-23,AAPL,25.16000747680664,36.9104,1.1807657,57.67124791863552,0.0895947791163891,,,,
2015-01-23,MSFT,40.513126373291016,33.0745,0.90333456,52.69223847070375,-0.0231170260217652,,,,
2015-01-23,GOOGL,26.999624252319336,26.4118,1.0096312,57.22777889357524,-0.010513738281304,,,,
2015-01-23,TSLA,13.419333457946776,182.1585,2.4466493,30.523117018697462,-0.3767689240114382,,,,
2015-01-23,AMZN,15.619500160217283,50.1165,1.1699733,52.9049773185556,-0.0720747909660399,,,,
2015-01-26,AMZN,15.482999801635742,50.1165,1.1699733,55.92762791660701,-0.0282651188295677,,,,
2015-01-26,TSLA,13.770000457763672,182.1585,2.4466493,45.81561679590312,-0.3201234011856115,,,,
2015-01-26,GOOGL,26.739070892333984,26.4118,1.0096312,60.66490159471538,0.0584782022529708,,,,
2015-01-26,MSFT,40.36715316772461,33.0745,0.90333456,54.50926787881645,0.0105297344891539,,,,
2015-01-26,AAPL,25.186731338500977,36.9104,1.1807657,66.44268313141646,0.1397535032445382,,,,
